,Text,Label
0,Allah'ım çıldıracağım. Yemin ederim çıldıracağım sinirimden. Bir yerden de çıkaramıyorum cam çerçeve indireceğim şimdi ne varsa.,kızgın
1,site ne zaman çalıştıda ürün stokları bitti diyor mal mısınız oğlum kimi kandırıyorsunuz!,kızgın
2,Sebebi neydi ki diye bağıracağım şimdi az kaldı,kızgın
3,Black friday ne amk bu yıl çıkardınız bu bokuda mal mısınız nesiniz.,kızgın
4,kısa kısa cevaplar vericeksen niye yazıyorsun gerizekalı,kızgın
5,cinnet geçiriyorum iyice çıldırttılar beni ,kızgın
6,Allah'ım etraf beyinsiz kaynıyor çıldıracağım ya,kızgın
7,Bok gibi geçti sınavım çıldıracağım,kızgın
8,Allah kahretsin bunları öyle öfkeliyim ki diyecek söz bulamıyorum,kızgın
9,"Gerçek gerizekalı, deli bir kitle var, ama öyle böyle değil altına sıçmalı, bokuyla oynamalı falan. ",kızgın
10,Allah belamı versin ki günün üç saati keyfim yerindeyse geri kalan yirmi bir saat sinir küpü oluyorum,kızgın
11,Bütün gün yaptığım stres sonucu hiçbir şey olmamış gibi davranan ailem var bu tavırları beni delirtecek  ,kızgın
12,Erkekleri artık anlayamıyorum çıldıracağım,kızgın
13,Annemden ve babamdan nefret ediyorum. ,kızgın
14,Tek bir kelimeyle herşeyin düzeleceğini sanan aptallar sizden nefret ediyorum ,kızgın
15,"Bir kitaba 25 tl verdiğim için gerizekalı diyen kişilerin, bir ruja 60 tl vermesi kaçıncı level",kızgın
16,Lan olum lan ne gerizekalısınız lan yine sinirlendim,kızgın
17,Nerede lan benim çikolatalı sütüm bak sinirlendim.,kızgın
18,Sizi zerre umursamayan insanlar için deli gibi üzülüyorsunuz. mal mısınız?,kızgın
19,Kendimi karşıma alıp konuşmak istiyorum bak gerizekalı bu iş böyle olmaz diye.,kızgın
20,Yarın sabah uyumadığım her dakika için kendime küfür edeceğim,kızgın
21,Ben takip atıyorum siz GT atmıyorsunuz ve ben size sövüyorum,kızgın
22,Allah belanı versin tudor cehennemde yan. nerden geldin başımıza kardeşim,kızgın
23,Lan padişah diye bağırıyor gerizekalılar ,kızgın
24,Susmasam kendi sesimde delireceğim. ,kızgın
25,Admin Bey size acayip sövüyorlar. Bilmediğim küfürler öğrendim.,kızgın
26,Tüm Türkiye de size yapılan küfürler ile inliyor şu an. Şerefsizler. Hain sürüsü,kızgın
27,Hayat bana cinnet geçir diye ısrarla olay çıkartıyor karşıma,kızgın
28,TBMM kürsüsünden sert sözler: Demirören ve ekibi Türk futbolundan defolup gitsin ,kızgın
29,Sosyal medya dedikoduları o kadar çok baymaya başladı ki artık ağız dolusu küfür edeceğim yeter,kızgın
30,Şimdi size soruyorum mal mısınız amk,kızgın
31,"Terörden beslenen, övünen ve geçinen, destek veren, destek alan, yanında duran göz yuman kim varsa Allah belasını versin ",kızgın
32,1 milyon 200 bin TL yiyin devletin malı yiyin yemeyen keriz zaten anlayamıyorum bu insanlar beni sinirden öldürücek ,kızgın
33,Kızlar salak mısınız gidin okuyun mal gibi evleniyorsunuz,kızgın
34,Allah kimseyi gerizekalı insanlarla sınamasın,kızgın
35,Ben niye böyle birşeye sinirlendim lan.,kızgın
36,Öğrencilerime test çözdürürken hata yaptıklarında Aynur hocam gibi deliriyorum ,kızgın
37,Nefretimiz elektriğe dönüştürülebilseydi bütün dünyayı aydınlatmaya yeterdi ,kızgın
38,Her şey bomboş ve çok saçma bugün çok öfkeliyim..,kızgın
39,Neden kimse Bayern Madrid çıkamazmış gibi davranıyor delireceğim ,kızgın
40,"Bazı insanlar doğarken mi yoksa sonradan mı gerizekalı oluyor bilemiyorum, iyice bir araştırmak lazım.",kızgın
41,Ben fake değilim diye bas bas bağıracağım şimdi,kızgın
42,ya derse yine gidemedim delireceğim ya,kızgın
43,Yaşadığım sürece negredoya küfür edeceğim,kızgın
44,Susarak asil olmak bana göre değil illa küfür edeceğim,kızgın
45,Konserden sonra hepinize küfür edeceğim nefret yorumları yapanlar. Ama şuan Jong dinlemem lazım.,kızgın
46,hay sikeyim seni gibi yorumcuyu bir de buna para veriyorlar ya sinir oluyorum lan ,kızgın
47,şu ıslıklayanları küfür edenleri görevliler yaka paça dışarı atsın artık ,kızgın
48,Hocam insan hiçbir şey bilmese haddini bilmelidir bilmeyenler beni sinirlendiriyor ,kızgın
49,Okula neden makyaj yapıp geliyosunuz kardeşim mal mısınız,kızgın
50,ilk defa birisinden bu kadar çok nefret ediyorum ,kızgın
51,eğitim sistemi cidden berbat saçma sapan gerizekalı bir sistem ,kızgın
52,bağıracağım şimdi o sen olsan bari diye,kızgın
53,Tespihimi kaybettim bulamıyorum 2 saattir delireceğim,kızgın
54,4 saattir uyumaya çalışıyorum ama tık yok imdat diye bağıracağım şimdi,kızgın
55,Lan kadın jungkooka yürümemiş koşmuş uçmuş bak sinirlendim,kızgın
